dutch,english
aanbieden,hebben aangeboden
aankomen,zijn aangekomen
aantrekken,hebben aangetrokken
aanvragen,hebben aangevraagd
aanwijzen,hebben aangewezen
afspreken,hebben afgesproken
bakken,hebben gebakken
bedenken,hebben bedacht
beginnen,zijn begonnen
begrijpen,hebben begrepen
beschrijven,hebben beschreven
besluiten,hebben besloten
bespreken,hebben besproken
bestaan,hebben bestaan
bevallen,zijn bevallen
bewegen,hebben bewogen
bezoeken,hebben bezocht
bieden,hebben geboden
bijten,hebben gebeten
binnenkomen,zijn binnengekomen
