dutch,english
overlijden,zijn overleden
oversteken,zijn overgestoken
rijden,hebben / zijn gereden
roepen,hebben geroepen
ruiken,hebben geroken
scheiden,zijn gescheiden
schrijven,hebben geschreven
schrikken,zijn geschrokken
slaan,hebben geslagen
slapen,hebben geslapen
sluiten,hebben / zijn gesloten
snijden,hebben gesneden
spreken,hebben gesproken
springen,hebben / zijn gesprongen
staan,hebben gestaan
stelen,hebben gestolen
sterven,zijn gestorven
strijken,hebben gestreken
trekken,hebben getrokken
uitgaan,zijn uitgegaan
